UKG,HAI,113.9130311
USA,PRK,113.9446097
TUR,GRC,113.9702035
USA,HAI,114.6382667
GRC,ALB,114.7466217
NIG,CAO,114.771223
ISR,LEB,114.810775
USA,HAI,114.9909671
ISR,LEB,115.0384021
USA,HAI,115.1186953
CHN,TAW,115.1546617
ISR,LEB,115.3656124
USA,HAI,115.4913078
USA,HAI,115.5985836
USA,HAI,115.6335764
ISR,LEB,115.7304267
USA,HAI,115.8520144
GRC,TUR,115.9665636
TUR,GRC,116.0677084
ISR,LEB,116.1175366
ISR,LEB,116.9248683
IND,PAK,117.2801603
CHN,USA,117.5281417
ISR,LEB,117.646879
RUS,JPN,117.8876887
IND,PAK,117.9983159
TUR,CYP,118.0908026
ISR,LEB,118.1186074
IRQ,KUW,118.1486949
USA,IRQ,118.2130102
UKG,IRQ,118.2355411
USA,IRQ,118.2490897
UKG,IRQ,118.2778438
USA,IRQ,118.3447607
KUW,IRQ,118.3828473
KUW,IRQ,118.4527455
FRN,IRQ,118.4848965
USA,IRQ,118.5086173
UKG,IRQ,118.5972397
FRN,IRQ,118.5974107
UKG,IRQ,118.6921998
BAH,IRQ,118.7182192
FRN,IRQ,118.7481179
OMA,IRQ,118.8059198
BAH,IRQ,118.8339145
OMA,IRQ,118.8623255
USA,IRQ,118.9574496
KUW,IRQ,118.9638164
USA,IRQ,119.0728499
UAE,IRQ,119.1876688
THI,CAM,119.404589
UKG,IRQ,119.4572753
IND,PAK,119.551261
TUR,GRC,119.6379952
ISR,LEB,119.670169
BAH,IRQ,119.7078486
TUR,GRC,119.7896696
DRC,ANG,120.130801
SAU,YEM,120.1747633
ISR,LEB,120.5077924
SUD,ERI,121.2146148
USA,IRQ,121.2592417
PRK,USA,121.3476867
IRN,IRQ,121.8276607
ISR,LEB,122.0649746
GRC,TUR,122.297895
GRC,TUR,122.5331835
CHN,TAW,122.7853767
TUR,GRC,123.1455811
ISR,LEB,123.6132362
NIG,CAO,124.3331074
ISR,LEB,124.4531992
